--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
467.244  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
467.263  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
467.283  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
467.301  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
469.032  000.197  000.197: require('lualine.utils.mode')
470.982  000.046  000.046: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
471.241  000.023  000.023: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
471.277  000.009  000.009: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
471.301  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
471.603  000.013  000.013: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
471.637  000.008  000.008: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
471.659  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
471.678  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
471.719  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
471.740  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
471.760  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
471.780  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
471.800  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
471.819  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
471.839  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
471.878  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
471.896  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
471.913  000.005  000.005: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
471.938  000.013  000.013: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
471.956  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
