--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
177.342  000.018  000.018: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
177.374  000.016  000.016: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
177.969  000.266  000.266: sourcing /home/nnonne/.local/share/nvim-lazy/lazy/fff/plugin/fff.lua
177.983  000.336  000.070: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
178.121  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
178.193  000.004  000.004: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
178.987  000.291  000.291: require('fff.main')
178.997  000.762  000.471: require('fff')
179.262  000.011  000.011: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
179.317  000.004  000.004: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
180.466  000.099  000.099: require('bufferline.lazy')
180.677  000.188  000.188: require('bufferline.commands')
181.063  000.373  000.373: require('bufferline.config')
181.076  001.650  000.991: require('bufferline')
181.878  000.331  000.331: require('bufferline.utils')
181.890  000.786  000.455: require('bufferline.groups')
182.095  000.151  000.151: require('bufferline.constants')
182.258  000.151  000.151: require('bufferline.colors')
183.097  000.340  000.340: require('bufferline.highlights')
188.622  003.652  003.652: require('bufferline.hover')
189.420  000.639  000.639: require('bufferline.ui')
190.888  001.430  001.430: require('vim.diagnostic')
191.186  000.018  000.018: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
191.319  000.005  000.005: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
192.473  000.230  000.230: require('toggleterm.lazy')
192.598  000.113  000.113: require('toggleterm.constants')
193.100  000.492  000.492: require('toggleterm.terminal')
193.131  001.798  000.963: require('toggleterm')
193.518  000.207  000.207: require('toggleterm.colors')
193.729  000.204  000.204: require('toggleterm.utils')
193.764  000.625  000.214: require('toggleterm.config')
197.248  000.279  000.279: require('toggleterm.commandline')
198.411  000.015  000.015: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
198.448  000.004  000.004: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
198.927  000.008  000.008: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
198.965  000.003  000.003: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
199.697  000.189  000.189: sourcing /home/nnonne/.local/share/nvim-lazy/lazy/oil-git.nvim/plugin/oil-git.lua
199.712  000.260  000.071: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
199.732  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
199.757  000.003  000.003: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
199.801  000.004  000.004: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
199.824  000.003  000.003: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
200.958  001.018  001.018: require('oil')
201.361  000.239  000.239: require('oil.ringbuf')
201.714  000.345  000.345: require('oil.config')
217.336  014.039  014.039: require('vim.filetype')
221.652  000.318  000.318: require('oil.log')
221.695  000.897  000.579: require('oil.fs')
222.030  000.089  000.089: require('oil.constants')
222.177  000.477  000.387: require('oil.util')
222.533  000.086  000.086: require('oil-git-status.system')
222.583  000.397  000.311: require('oil-git-status')
223.182  000.088  000.088: require('oil-git.constants')
223.199  000.212  000.124: require('oil-git.config')
223.422  000.084  000.084: require('oil-git.path')
223.606  000.097  000.097: require('oil-git.status_mapper')
223.615  000.188  000.091: require('oil-git.trie')
223.694  000.074  000.074: require('oil-git.util')
223.707  000.503  000.156: require('oil-git.git')
223.845  000.134  000.134: require('oil-git.highlights')
223.871  001.033  000.184: require('oil-git')
224.506  000.367  000.367: require('oil-lsp-diagnostics')
